"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"46730011","2026","4673032000","003","안음경로당","흥대리 1042-5 안음마을경로당","69.36","21","2","1","N","2021-04-27 16:16:31.000","2026-01-08 20:10:08.000","","전라남도 구례군 간전면 안음1길  7 , 안음마을경로당","N","4870101","N","","","127.5468211","35.1776977","","0900","1800","","","001"
"4423000703","2026","4423032000","003","신당1리당디경로당","90-17","40","10","2","1","Y","2021-05-20 15:57:13.000","2026-06-04 14:07:46.000","","충청남도 논산시 광석면 신당1길 50","N","4540265","N","","","127.0792176","36.2476689","","0900","1800","0900","1800","001"
"41310008","2026","4131052000","003","간촌1경로당","509-0","120","30","0","1","N","2021-03-10 13:19:34.000","2026-04-28 16:08:51.000","","경기도 구리시 동구릉로 104-18","N","3980028","N","","","127.1359533","37.6083781","","0900","1800","","","001"
"4311412","2026","4311331000","003","태성1경로당","91-4","75.98","30","2","1","N","2021-03-12 10:58:30.000","2026-05-07 10:09:18.000","","충청북도 청주시 흥덕구 강내면서부로 375-18","N","5730011","N","","","127.359305","36.587512","","1300","1700","1300","1700","001"
"4311413","2026","4311331000","003","산단경로당","77-0","67","29","2","1","N","2021-03-12 10:58:30.000","2026-05-07 10:09:18.000","","충청북도 청주시 흥덕구 강내면산단길 5-1","N","5730011","N","","","127.353513","36.581683","","1300","1700","1300","1700","001"
"4119201127","2026","4119263000","001","부천시청민원실","1156-0","530","15","0","2","N","2024-08-07 14:20:21.000","2026-04-22 15:35:43.000","","경기도 부천시 원미구 길주로 210 (중동)","N","3860750","N","","","126.7666858","37.5032404","","0900","1800","","","001"
"5013000364","2026","5013051000","001","송산동주민센터","556-2","150","20","10","3","N","2024-08-07 14:54:11.000","2026-04-27 17:06:55.000","","제주특별자치도 서귀포시 소암로 4 (서귀동)","N","6520033","N","","","126.5660405","33.2449598","","0900","1800","0900","1800","001"
"4111461","2026","4111758500","003","살구골현대(아)경로당","989-2","83.03","21","4","1","N","2021-04-21 09:52:26.000","2026-04-20 11:13:04.000","","경기도 수원시 영통구 매영로 366 (현대아파트)","N","3740436","N","","","127.072733","37.249262","","0900","1800","","","001"
"4885067","2026","4885042000","003","내도경로당","5-3","72","18","2","1","N","2021-03-08 09:19:00.000","2026-06-05 14:01:07.000","","경상남도 하동군 금성면내도청도길 94-1","N","5440176","N","","","127.7896197","34.9525803","","0900","1800","1000","2200","001"
"48170491","2026","4817072000","003","덕산아파트경로당","235-1","84.96","8","0","2","N","2021-03-08 20:35:28.000","2026-06-05 10:52:15.000","","경상남도 진주시 서장대로178번길 17","N","5310282","N","","","128.0588315","35.1875741","","0900","1800","0900","1800","001"
"48170492","2026","4817072000","003","나부리경로당","516-1","27.98","8","3","1","N","2021-03-08 20:35:28.000","2026-06-05 10:52:15.000","","경상남도 진주시 나불로 178-1","N","5310282","N","","","128.0497888","35.2108029","","0900","1800","0900","1800","001"
"48170493","2026","4817072000","003","각한경로당","274-4","75.54","12","2","1","N","2021-03-08 20:35:28.000","2026-06-05 10:52:15.000","","경상남도 진주시 나불로100번길 13","N","5310282","N","","","128.0561916","35.2063378","","0900","1800","0900","1800","001"
"48170494","2026","4817072000","003","면호실경로당","939-5","83.6","10","1","1","N","2021-03-08 20:35:28.000","2026-06-05 10:52:15.000","","경상남도 진주시 나불로21번길 130","N","5310282","N","","","128.0449175","35.2026465","","0900","1800","0900","1800","001"
"4125023","2026","4125055000","003","북보산동경로당","459-96","50.96","13","2","1","N","2021-03-15 21:43:08.000","2026-04-30 09:32:29.000","","경기도 동두천시 평화로2607번길 49","N","3920078","N","","","127.0561747","37.922681","","0900","1800","","","001"
"11380005","2026","1138051000","003","녹색경로당","160-9","176","35","4","2","N","2021-04-21 16:54:09.000","2026-05-26 15:06:11.000","※ 경로당 실제 운영시간에 맞춰 탄력적 운영 가능","서울특별시 은평구 은평로11길 21","N","3110173","N","","","126.923291","37.602659","","1000","1700","","","001"
"11380011","2026","1138051000","001","녹번종합사회복지관","28-6","36","12","1","1","N","2021-04-21 16:54:09.000","2026-04-25 15:55:09.000","","서울특별시 은평구 은평로21길 14-26","N","3110173","N","","","126.931781","37.602657","","0900","1800","","","002"
"4311414","2026","4311331000","003","사곡1경로당","306-5","67","36","2","2","N","2021-03-12 10:58:30.000","2026-05-07 10:09:18.000","","충청북도 청주시 흥덕구 강내면 사곡1리지현길 13","N","5730011","N","","","127.33084","36.584752","","1300","1700","1300","1700","001"
"46800492","2026","4680036000","003","관한경로당","금자 219-5","58","15","5","1","Y","2021-04-27 16:32:25.000","2026-05-17 18:25:17.000","","전라남도 장흥군 부산면 금관길  131","N","4910103","N","","","126.922083","34.746394","","0900","1800","0900","1800","001"
"4111084","2026","4111158000","003","서문경로당(영화동)","422-26","424.1","50","2","2","N","2021-04-21 09:52:26.000","2026-04-20 11:13:01.000","","경기도 수원시 장안구 장안로 33  (영화동)","N","3740436","N","","","127.0046605","37.2876652","","0900","1800","","","001"
"458103","2026","5279034000","003","다옥경로당","구암리 215-4 다목마을회관노인정","76.35","13","2","1","N","2021-03-04 09:12:08.000","2026-05-14 18:20:49.000","경로당 내부규정에 의한 탄력적 운영","전북특별자치도 고창군 공음면 이심다옥길  73 , 다목마을회관노인정","N","4781058","N","","","126.5074876","35.3986338","","0900","1800","1000","1700","001"
"45720255","2026","5272025000","003","유산경로당","1106-1","82","20","2","1","N","2021-04-08 15:24:33.000","2026-05-06 09:54:09.000","","전북특별자치도 진안군 진안읍 유산길 12","N","4731017","N","","","127.4387297","35.8100576","","0900","2100","0900","2100","001"
"41830078","2026","4183032000","001","전수2리마을회관(신)","971-2","136.16","40","2","1","Y","2021-04-01 14:29:50.000","2026-06-04 09:24:33.000","","경기도 양평군 강하면 강하2로 41 ","N","4170233","N","","","127.4173281","37.4943434","","0900","1800","1000","1800","002"
"5011000514","2026","5011054000","004","농협은행정부제주지방합동청사출장소","662-0","500","20","","2","N","2024-07-19 16:53:48.000","2025-07-29 17:07:48.000","","제주특별자치도 제주시 청사로 59 (도남동)","N","6510194","N","909455.631899","1500311.399337","126.5253246","33.4908199","","0900","1600","","","001"
"46860382","2026","4686038000","003","방축경로당","871-2","85","27","1","1","Y","2021-02-26 11:01:50.000","2026-06-02 13:04:44.000","","전라남도 함평군 월야면방축길 13","Y","4960117","N","","","126.6299742","35.1659441","","0900","1800","0900","1800","001"
